"abbas, -atis n (m)",abbot-4,
"abeo, abire, abi(v)i, abitum vb intr",to go away-3,
"abiectio, -onis n (f)",dejection-1,
"abluo, abluere, ablui, ablutum vb tr",to wash (away)-1,
"abnego, abnegare, abnegavi, abnegatum vb tr",to deny -1: to say that . . . not (with ind speech)-1,
"abscedo, abscedere, abscessi, abscessum vb intr",to retreat-1,
"a(b)scondo, -ere, a(b)scon(di)di, a(b)sconditum vb tr",to hide (in)-2,
"absens, -entis adj",absent-3,
"absentia, -ae n (f)",absence-3,
"absida, -ae n (f)",apse-1,
"absorbeo, absorbere, absorbui, absorptum vb tr",to swallow up-1,
absque prep (with abl),except-1: without-4,
"abstinentia, -ae n (f)",abstinence-3,
"abstractio, -onis n (f)",abduction-1,
"abstraho, abstrahere, abstraxi, abstractum vb tr",to remove-1,
"absum, abesse, abfui, abfuturum vb intr",to be absent-1,
(h)abundanter adv,abundantly-2,
"abundantia, -ae n (f)",abundance-1,
"(h)abundo, -are, (h)abundavi, (h)abundatum vb intr",to abound-3,
abusive adv,improperly-1: loosely-1,
"abutor, abuti, abusus vb dep",to abuse (with abl)-1,
"abyssus, -i n (f)",abyss-1,
ac conj,and-27,
"accedo, accedere, accessi, accessum vb intr","to approach, to go to-12: to add to-1",
"accelero, accelerare, acceleravi, acceleratum vb tr and intr",to hurry-1,
"accendo, accendere, accendi, accensum vb tr",to kindle-3,
"accidentia, -ae n (f)",event-1,
"accido, accidere, accidi, — vb intr",to happen-10,
"accingo, accingere, accinxi, accinctum vb tr",to gird-1,
"accipio, accipere, accepi, acceptum vb tr",to receive-21: to take (up)-5: to understand-2,
"accipiter, accipitris n (m)",hawk-3,
"accola, -ae n (f)",inhabitant-1,
accommodatius (accomodacius) adv compar,more fittingly-1,
"accommodo, -are, -avi, -atum (adcommodo) vb tr",to accommodate-2,
"accresco, accrescere, accrevi, accretum vb intr",to swell -1,
"accuso, accusare, accusavi, accusatum vb tr",to accuse-2,
"acies, -ei n (f)",battle line-2: sharpness-1,
"acquiesco, acquiescere, acquievi, acquietum vb intr",to submit to (with dat)-1: to acquiesce to (with dat)-3,
"acquiro, acquirere, acquisivi, acquisitum (adquiro) vb tr",to acquire-3,
"acrior, -ius adj compar",more vigorous-1,
